22.04.2020;"75,93";22.04.2020;"75,93"
23.04.2020;"74,92";23.04.2020;"74,92"
24.04.2020;"74,56";24.04.2020;"74,56"
25.04.2020;"74,56";25.04.2020;"74,56"
26.04.2020;"74,59";26.04.2020;"74,59"
27.04.2020;"74,47";27.04.2020;"74,47"
28.04.2020;"74,15";28.04.2020;"74,15"
29.04.2020;"73,07";29.04.2020;"73,07"
30.04.2020;"74,34";30.04.2020;"74,34"
01.05.2020;"75,35";01.05.2020;"75,35"
02.05.2020;"75,35";02.05.2020;"75,35"
03.05.2020;"75,43";03.05.2020;"75,43"
04.05.2020;"74,72";04.05.2020;"74,72"
05.05.2020;"73,70";05.05.2020;"73,70"
06.05.2020;"74,47";06.05.2020;"74,47"
07.05.2020;"73,89";07.05.2020;"73,89"
08.05.2020;"73,37";08.05.2020;"73,37"
09.05.2020;"73,37";09.05.2020;"73,37"
10.05.2020;"73,39";10.05.2020;"73,39"
11.05.2020;"73,62";11.05.2020;"73,62"
12.05.2020;"73,60";12.05.2020;"73,60"
13.05.2020;"73,95";13.05.2020;"73,95"
14.05.2020;"73,51";14.05.2020;"73,51"
15.05.2020;"73,57";15.05.2020;"73,57"
16.05.2020;"73,61";16.05.2020;"73,61"
17.05.2020;"73,60";17.05.2020;"73,60"
18.05.2020;"72,69";18.05.2020;"72,69"
19.05.2020;"72,49";19.05.2020;"72,49"
20.05.2020;"71,21";20.05.2020;"71,21"
21.05.2020;"70,90";21.05.2020;"70,90"
22.05.2020;"71,60";22.05.2020;"71,60"
23.05.2020;"71,63";23.05.2020;"71,63"
24.05.2020;"71,57";24.05.2020;"71,57"
25.05.2020;"71,62";25.05.2020;"71,62"
26.05.2020;"70,76";26.05.2020;"70,76"
27.05.2020;"71,02";27.05.2020;"71,02"
28.05.2020;"70,50";28.05.2020;"70,50"
29.05.2020;"70,11";29.05.2020;"70,11"
30.05.2020;"70,14";30.05.2020;"70,14"
31.05.2020;"70,16";31.05.2020;"70,16"
01.06.2020;"69,08";01.06.2020;"69,08"
02.06.2020;"68,66";02.06.2020;"68,66"
